Timestamp,Title,Price,Currency,Margin (%),Profit ($),Max Bid,Confidence,Time Left (min),Seller Feedback (%),Condition,Type,Bid Status,eBay Link,Sold Price,Sold Date,Fees,Net Profit,ROI
06/16/2025 19:14:37,HEAVY? 22.41 Grams! Pokemon Crown Zenith Factory Sealed Booster Pack!!,25.0,USD,-100.0,-29.0,0,40,40,98.0,New/Factory Sealed,Auction,❌ Skipped (limit/funds),https://www.ebay.com/itm/236139531900?_skw=pokemon+%28booster+pack%2C+psa%2C+holo%2C+etb%2C+sealed%2C+charizard%29+-lot+-digital+-online&hash=item36fb034e7c:g:AWIAAOSwpCZnuSfB,,,,,
06/16/2025 19:14:37,⭐️Radiant Greninja 46/189 & Radiant Charizard 20/159⭐️,8.99,USD,-100.0,-13.83,0,45,12,96.3,Used,Auction,❌ Skipped (limit/funds),https://www.ebay.com/itm/405948383739?_skw=pokemon+%28booster+pack%2C+psa%2C+holo%2C+etb%2C+sealed%2C+charizard%29+-lot+-digital+-online&hash=item5e8468c1fb:g:LL8AAOSwzcNoPjLs,,,,,
